Infinitive,Präteritum,Partizip Perfekt,English
treten,trat,getreten,(to step, kick)
trinken,trank,getrunken,(to drink)
trocknen,trocknete,getrocknet,(to dry)
tun,tat,getan,(to do)
verdienen,verdiente,verdient,(to earn)
vergessen,vergaß,vergessen,(to forget)
verlieben,verliebte,verliebt,(to fall in love)
verlieren,verlor,verloren,(to lose)
verloben,verlobte,verlobt,(to get engaged)
verstehen,verstand,verstanden,(to understand)
vorbereiten,bereitete vor,vorbereitet,(to prepare)
vorschlagen,schlug vor,vorgeschlagen,(to suggest)
wachsen,wuchs,ist gewachsen,(to grow)
wandern,wanderte,ist gewandert,(to hike)
warten,wartete,gewartet,(to wait)
waschen,wusch,gewaschen,(to wash)
weinen,weinte,geweint,(to cry)
werden,wurde,ist geworden,(to become)
werfen,warf,geworfen,(to throw)
wiederholen,wiederholte,wiederholt,(to repeat)
wissen,wusste,gewusst,(to know facts)
wohnen,wohnte,gewohnt,(to live, dwell)
wünschen,wünschte,gewünscht,(to wish)
zahlen,zahlte,gezahlt,(to pay)
zeigen,zeigte,gezeigt,(to show)
ziehen,zog,gezogen,(to pull)
leihen,lieh,geliehen,(to lend/borrow)
leiten,leitete,geleitet,(to lead, head)
lernen,lernte,gelernt,(to learn, study)
lesen,las,gelesen,(to read)
lieben,liebte,geliebt,(to love)
liegen,lag,gelegen,(to lie, be lying)
machen,machte,gemacht,(to do, make)
meinen,meinte,gemeint,(to mean, think)
nehmen,nahm,genommen,(to take)
nennen,nannte,genannt,(to name, call)
öffnen,öffnete,geöffnet,(to open)
packen,packte,gepackt,(to pack)
passen,passte,gepasst,(to fit, suit)
passieren,passierte,ist passiert,(to happen)
planen,plante,geplant,(to plan)
probieren,probierte,probiert,(to try, attempt)
putzen,putzte,geputzt,(to clean)
rasieren,rasierte,rasiert,(to shave)
reden,redete,geredet,(to talk, converse)
regnen,regnete,geregnet,(to rain)
reisen,reiste,ist gereist,(to travel)
reiten,ritt,ist geritten,(to ride)
rennen,rannte,ist gerannt,(to run, race)
reservieren,reservierte,reserviert,(to reserve)
retten,rettete,gerettet,(to save from)
rufen,rief,gerufen,(to call)
sagen,sagte,gesagt,(to say)
schaden,schadete,geschadet,(to harm, hurt)
schaffen,schaffte,geschafft,(to manage, do)
schauen,schaute,geschaut,(to look, glance)
scheinen,schien,geschienen,(to appear)
schenken,schenkte,geschenkt,(to give)
schicken,schickte,geschickt,(to send)
schlafen,schlief,geschlafen,(to sleep)
schlagen,schlug,geschlagen,(to hit)
anfangen,fing an,angefangen,(to begin)
antworten,antwortete,geantwortet,(to answer)
arbeiten,arbeitete,gearbeitet,(to work)
ärgern,ärgerte,geärgert,(to annoy)
aufräumen,räumte auf,aufgeräumt,(to clean up)
aufwachen,wachte auf,ist aufgewacht,(to wake up)
aussehen,sah aus,ausgesehen,(to look like)
baden,badete,gebadet,(to bathe)
bauen,baute,gebaut,(to build)
beeilen,beeilte,beeilt,(to hurry)
beginnen,begann,begonnen,(to begin)
bekommen,bekam,bekommen,(to get, receive)
bestellen,bestellte,bestellt,(to order)
